price_per_unit,id,product_name,vendor
$0.99/item,1,Anjou Pears Large 1 Count ,Voila
$0.40/100g,3,Apples Ambrosia,Voila
$0.44/100g,3,Apples Ambrosia,Voila
$1.00/item,4,Apricots 4 Count,Voila
$1.32/item,4,Apricots 4 Count,Voila
$1.37/item,4,Apricots 4 Count,Voila
$0.72/100g,5,Black/Red Plums 907 g,Voila
$0.77/100g,5,Black/Red Plums 907 g,Voila
$0.70/100g,5,Black/Red Plums 907 g,Voila
$0.80/100g,5,Black/Red Plums 907 g,Voila
$6.59/item,6,Cherries Red 454 g,Voila
$0.55/100g,10,Lil Snapper Organic Apples Granny 1.36 kg,Voila
$0.51/100g,10,Lil Snapper Organic Apples Granny 1.36 kg,Voila
$0.59/100g,10,Lil Snapper Organic Apples Granny 1.36 kg,Voila
$0.54/100g,10,Lil Snapper Organic Apples Granny 1.36 kg,Voila
$6.61/kilogram,12,Lil Snappers Organic Apples Honeycrisp 1.36 kg,Voila
$5.87/kilogram,12,Lil Snappers Organic Apples Honeycrisp 1.36 kg,Voila
$5.73/kilogram,12,Lil Snappers Organic Apples Honeycrisp 1.36 kg,Voila
$7.71/kilogram,12,Lil Snappers Organic Apples Honeycrisp 1.36 kg,Voila
$2.51/100g,14,Lychee 227 g,Voila
$2.64/100g,14,Lychee 227 g,Voila
$2.49/item,15,Mango Large 1 Count ,Voila
$4.99/item,16,Maradol Formosa Papaya 1 Count ,Voila
$5.99/item,17,Melon Canary/Yellow Honeydew 1 Count,Voila
$4.99/item,18,Melon Honeydew 1 Count,Voila
$0.77/100g,19,Nectarines 907 g,Voila
$0.55/100g,19,Nectarines 907 g,Voila
$0.66/100g,19,Nectarines 907 g,Voila
$0.88/100g,20,Peaches 907 g,Voila
$0.55/100g,20,Peaches 907 g,Voila
$0.66/100g,20,Peaches 907 g,Voila
$0.77/100g,20,Peaches 907 g,Voila
$1.25/100g,21,Rhubarb Local 400 g,Voila
$1.37/100g,21,Rhubarb Local 400 g,Voila
$0.30/100ml,23,Strawberries Local 1 L,Voila
$5.99/item,24,Watermelon Seedless Mini 1 Count ,Voila
$1.54/100g,46,Candy Snap Seedless Grapes Red  454 g,Voila
$0.72/100g,48,Clementines-Mandarins 907 g,Voila
$0.68/100g,48,Clementines-Mandarins 907 g,Voila
$1.76/100g,69,Green Grapes Seedless Cotton Candy 454 g,Voila
$0.48/100g,91,Organic Apples Ambrosia,Voila
$0.55/100g,91,Organic Apples Ambrosia,Voila
$2.39/item,122,Boston Single Dome Lettuce 1 Count,Voila
$4.49/item,123,Cauliflower 1 Count,Voila
$3.49/item,124,Celery 1 Count,Voila
$0.59/item,126,Corn On The Cob Unpeeled 1 Count,Voila
$2.59/item,128,Eggplant 1 Count,Voila
$1.49/item,129,English Cucumber Seedless 1 Count,Voila
$4.29/item,132,Kohlrabi 1 Count,Voila
$1.49/item,133,Orange Pepper Extra Large 1 EA,Voila
$1.49/item,134,Red Pepper Extra Large 1 EA,Voila
$3.59/item,137,Swiss Chard Green 1 Bunch,Voila
$3.59/item,138,Swiss Chard Red 1 Bunch,Voila
$2.69/item,143,Top Carrots 1 Bunch ,Voila
$1.49/item,144,Yellow Pepper Extra Large 1 EA,Voila
$0.10/100g,203,Compliments Paper bag Potato Russet 4.54 kg,Voila
$0.12/100g,203,Compliments Paper bag Potato Russet 4.54 kg,Voila
$0.70/100g,207,Compliments Potatoes Yellow Mini 680 g,Voila
$3.97/100g,484,Good Leaf Baby Greens Robust Romaine 113 g,Voila
$3.54/100g,484,Good Leaf Baby Greens Robust Romaine 113 g,Voila
$0.93/100ml,578,Litehouse Dressing Avocado Ranch 591 ml,Voila
$1.14/100ml,616,Panache Salad Dressing Turmeric & Black Pepper 350 ml,Voila
$2.19/item,668,Cilantro / Coriander 1 Bunch,Voila
$0.63/100ml,689,Bolthouse Farms Fruit Smoothie Banana Strawberry 946 ml (bottle),Voila
$2.17/100g,1004,Janes Frozen Turkey Nuggets Fully Cooked Breaded Cutlettes 600 g,Voila
$1.86/100g,1009,Janes Fully Cooked Pub Style Frozen Chicken Fries 700 g,Voila
$1.96/100g,1051,Prime Frozen Chicken Strips Raised Without Antibiotics 560 g,Voila
$2.32/100g,1051,Prime Frozen Chicken Strips Raised Without Antibiotics 560 g,Voila
$2.68/100g,1051,Prime Frozen Chicken Strips Raised Without Antibiotics 560 g,Voila
$1.58/100g,1052,Prime Frozen Chicken Wings Buffalo Style Raised Without Antibiotics 695 g,Voila
$1.87/100g,1052,Prime Frozen Chicken Wings Buffalo Style Raised Without Antibiotics 695 g,Voila
$2.16/100g,1052,Prime Frozen Chicken Wings Buffalo Style Raised Without Antibiotics 695 g,Voila
$1.96/100g,1053,Prime Frozen Popcorn Chicken Raised Without Antibiotics 560 g,Voila
$2.32/100g,1053,Prime Frozen Popcorn Chicken Raised Without Antibiotics 560 g,Voila
$2.68/100g,1053,Prime Frozen Popcorn Chicken Raised Without Antibiotics 560 g,Voila
$1.60/100g,1077,Butterball Turkey Bacon Reduced Salt 375 g,Voila
$2.06/100g,1094,Compliments Frozen Pork Back Trad BBQ Ribs 680 g,Voila
$1.62/100g,1094,Compliments Frozen Pork Back Trad BBQ Ribs 680 g,Voila
$2.17/100g,1215,Janes Pub Style Fully Cooked Frozen Turkey Burger 600 g,Voila
$1.89/100g,1219,Prime Frozen Chicken Burgers Raised Without Antibiotics 581 g,Voila
$2.24/100g,1219,Prime Frozen Chicken Burgers Raised Without Antibiotics 581 g,Voila
$2.58/100g,1219,Prime Frozen Chicken Burgers Raised Without Antibiotics 581 g,Voila
$1.32/100g,1222,The Keg Gluten-Free Frozen Prime Rib Beef Burgers 1.02 kg,Voila
$1.96/100g,1222,The Keg Gluten-Free Frozen Prime Rib Beef Burgers 1.02 kg,Voila
$1.33/100g,1243,Schneiders Smoked Sausage Savoury Garlic and Honey 375 g,Voila
$1.60/100g,1243,Schneiders Smoked Sausage Savoury Garlic and Honey 375 g,Voila
$2.13/100g,1243,Schneiders Smoked Sausage Savoury Garlic and Honey 375 g,Voila
$2.73/100g,1379,Gold Label Deli Sliced Meats Roasted Chicken 55 g,Voila
$2.73/100g,1380,Gold Label Deli Sliced Turkey Honey 55 g,Voila
$4.66/100g,1390,Maple Leaf Natural Selections Deli Sliced Genoa Salami Dry-Cured Hot 150 g,Voila
$6.43/100g,1395,Marcangelo Snackissimo Genoa Salami & Provolone Cheese 70 g,Voila
$6.43/100g,1397,Marcangelo Snackissimo Salami And Cheese Genoa & Provolone Hot 70 g,Voila
$3.42/100g,1630,San Daniele Mortadella Sliced Meat 175 g,Voila
$2.28/100g,1630,San Daniele Mortadella Sliced Meat 175 g,Voila
$2.85/100g,1630,San Daniele Mortadella Sliced Meat 175 g,Voila
$6.36/100g,1656,Slim Jim Giant Meat Snack Mild 27.5 g,Voila
$6.36/100g,1657,Slim Jim Giant Meat Snack Original 27.5 g,Voila
$6.36/100g,1658,Slim Jim Meat Snack Giant Hot 27.5 g,Voila
$2.33/100g,1662,Best Buy Frozen Shrimp Pacific White Peeled Tail-On 300 g,Voila
$2.35/100g,1669,Compliments Frozen Uncooked Peeled Deveined Shrimp 31/40 Count 340 g,Voila
$2.06/100g,1669,Compliments Frozen Uncooked Peeled Deveined Shrimp 31/40 Count 340 g,Voila
$2.75/100g,1787,Toppits Frozen Gluten-Free Breaded Haddock 400 g,Voila
$3.00/100g,1787,Toppits Frozen Gluten-Free Breaded Haddock 400 g,Voila
$0.30/100ml,1844,A2 Milk 1% Partly Skimmed Milk 2 L,Voila
$0.20/100ml,1875,Earth's Own Organic Almond Milk Unsweetened Vanilla Dairy-Free Plant-Based Beverage 1.75 L,Voila
$0.61/100ml,1964,Silk Barista Dairy Free Almond Beverage Original 946 ml,Voila
$0.21/100ml,1970,Silk Dairy-Free Almond Beverage Dark Chocolate 1.89 L,Voila
$0.21/100ml,1972,Silk Dairy-Free Almond Beverage Unsweetened Original 1.89 L,Voila
$0.21/100ml,1974,Silk Dairy-Free Almond Beverage Unsweetened Vanilla 1.89 L,Voila
$0.21/100ml,1976,Silk Dairy-Free Almond Beverage Vanilla 1.89 L,Voila
$0.23/100ml,1981,Silk Dairy-Free Oat Beverage Vanilla Unsweetened 1.75 L,Voila
$0.21/100ml,1983,Silk Dairy-Free Organic Soy Beverage Original 1.89 L,Voila
$0.21/100ml,1984,Silk Dairy-Free Organic Soy Beverage Unsweetened Original 1.89 L,Voila
$0.21/100ml,1985,Silk Dairy-Free Organic Soy Beverage Vanilla 1.89 L,Voila
$0.23/100ml,1986,Silk Dairy-Free Plant Based Oat Beverage Dark Chocolate Flavour 1.75 L,Voila
$0.23/100ml,1988,Silk Dairy-Free Plant Based Oat Beverage Vanilla Flavour 1.75 L,Voila
$0.21/100ml,1990,Silk Gluten-Free Beverage Almond & Coconut Unsweetened 1.89 L,Voila
$0.21/100ml,1991,Silk Gluten-Free Beverage Coconut Original 1.89 L,Voila
$0.21/100ml,1995,Silk Organic Dairy-Free Soy Beverage Dark Chocolate 1.89 L,Voila
$0.21/100ml,1997,Silk Plant Based Dairy-Free Almond Beverage Original 1.89 L,Voila
$0.57/100ml,2007,International Delight  Coffee Creamer Vanilla Toffee Caramel 473 ml,Voila
$0.74/100ml,2007,International Delight  Coffee Creamer Vanilla Toffee Caramel 473 ml,Voila
$0.63/100ml,2010,International Delight Coffee Creamer Double Double 946 ml,Voila
$0.63/100ml,2015,International Delight Coffee Creamer Irish Creme 946 ml,Voila
$0.58/100ml,2015,International Delight Coffee Creamer Irish Creme 946 ml,Voila
$0.63/100ml,2017,International Delight Coffee Creamer Reduced Sugar French Vanilla 946 ml,Voila
$0.63/100ml,2020,International Delight Coffee Creamer Zero Sugar Hazelnut 946 ml,Voila
